Date,Time,Comp,Round,Day,Venue,Result,Goals For,Goals Against,Opponent,Goals,Shots,Shots on Target,SoT%,Goals per Shot,Goals per SoT,Shot Distance,Free Kicks,Penalty Goals,Penalty Attempts,Expected Goals,Non-Penalty xG,NP xG per Shot,G-xG,NP:G-xG,match_id
2024-02-20,19:30 (01:15),Premier League,Matchweek 18,Tue,Home,W,1,0,Brentford,0.16666666666666666,0.676470588235294,0.6666666666666666,0.4,0.05970149253731343,0.1,0.8429752066115704,0.0,0.0,0.0,0.4864864864864864,0.5806451612903225,0.18181818181818182,0.05263157894736842,0.05263157894736842,25
2024-02-24,17:30 (23:15),Premier League,Matchweek 26,Sat,Away,W,1,0,Bournemouth,0.16666666666666666,0.38235294117647056,0.4,0.4,0.1044776119402985,0.17,0.6694214876033057,0.5,0.0,0.0,0.29729729729729726,0.3548387096774194,0.24242424242424243,0.17543859649122812,0.17543859649122812,26
2024-03-03,15:30 (21:15),Premier League,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,0.5,0.7352941176470588,0.5333333333333333,0.29600000000000004,0.16417910447761191,0.38,0.8512396694214875,0.5,0.0,0.0,0.7567567567567566,0.9032258064516129,0.24242424242424243,0.22807017543859653,0.22807017543859653,27
2024-03-10,15:45 (21:30),Premier League,Matchweek 28,Sun,Away,D,1,1,Liverpool,0.16666666666666666,0.23529411764705882,0.4,0.6,0.14925373134328357,0.17,0.9256198347107439,0.0,0.0,0.0,0.29729729729729726,0.3548387096774194,0.36363636363636365,0.17543859649122812,0.17543859649122812,28
2024-03-31,16:30 (21:15),Premier League,Matchweek 30,Sun,Home,D,0,0,Arsenal,0.0,0.2941176470588235,0.06666666666666667,0.083,0.0,0.0,0.56198347107438,0.0,0.0,0.0,0.13513513513513511,0.16129032258064516,0.1515151515151515,0.10526315789473686,0.10526315789473686,29
2024-04-03,20:15 (01:00),Premier League,Matchweek 31,Wed,Home,W,4,1,Aston Villa,0.6666666666666666,0.676470588235294,0.7333333333333333,0.44,0.23880597014925373,0.36,0.7024793388429752,1.0,0.0,0.0,0.7837837837837837,0.9354838709677419,0.30303030303030304,0.3859649122807018,0.3859649122807018,30
2024-04-06,12:30 (17:15),Premier League,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,0.6666666666666666,0.47058823529411764,0.5333333333333333,0.444,0.32835820895522383,0.5,0.7190082644628101,0.0,0.0,0.0,0.3783783783783783,0.4516129032258064,0.2121212121212121,0.6491228070175439,0.6491228070175439,31
2024-04-13,15:00 (19:45),Premier League,Matchweek 33,Sat,Home,W,5,1,Luton Town,0.6666666666666666,1.0,0.8,0.33299999999999996,0.11940298507462686,0.25,0.7851239669421487,0.0,0.5,0.5,1.0,0.9354838709677419,0.18181818181818182,0.24561403508771934,0.21052631578947373,32
2024-04-25,20:00 (00:45),Premier League,Matchweek 29,Thu,Away,W,4,0,Brighton,0.6666666666666666,0.3529411764705882,0.4,0.429,0.4328358208955223,0.67,0.793388429752066,0.5,0.0,0.0,0.24324324324324317,0.29032258064516125,0.18181818181818182,0.736842105263158,0.736842105263158,33
2024-04-28,16:30 (21:15),Premier League,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,0.3333333333333333,0.2647058823529412,0.3333333333333333,0.455,0.2686567164179104,0.4,0.933884297520661,0.5,0.0,0.0,0.10810810810810809,0.12903225806451615,0.12121212121212122,0.4736842105263159,0.4736842105263159,34
2024-05-04,17:30 (22:15),Premier League,Matchweek 36,Sat,Home,W,5,1,Wolves,0.8333333333333333,0.47058823529411764,0.6666666666666666,0.556,0.2537313432835821,0.3,0.652892561983471,0.0,1.0,1.0,0.8648648648648648,0.5161290322580646,0.24242424242424243,0.5087719298245614,0.4385964912280702,35
2024-05-11,12:30 (17:15),Premier League,Matchweek 37,Sat,Away,W,4,0,Fulham,0.6666666666666666,0.38235294117647056,0.5333333333333333,0.533,0.29850746268656714,0.38,0.8429752066115704,0.0,0.5,0.5,0.7297297297297297,0.6129032258064516,0.36363636363636365,0.42105263157894746,0.3859649122807018,36
2024-05-14,20:00 (00:45),Premier League,Matchweek 34,Tue,Away,W,2,0,Tottenham,0.3333333333333333,0.14705882352941174,0.26666666666666666,0.5710000000000001,0.208955223880597,0.25,0.5867768595041322,0.0,0.5,0.5,0.5135135135135135,0.3548387096774194,0.5757575757575758,0.21052631578947373,0.17543859649122812,37
2024-05-19,16:00 (20:45),Premier League,Matchweek 38,Sun,Home,W,3,1,West Ham,0.5,0.7647058823529411,0.8,0.429,0.16417910447761191,0.25,0.8677685950413222,1.0,0.0,0.0,0.3783783783783783,0.4516129032258064,0.09090909090909091,0.4736842105263159,0.4736842105263159,38
