Round,Opponent,Venue,days_since_first_match,Result,Total_Shots_team,Total_SoT_team,Total_xG_team,Total_Possession,Goals_Per_Match_team,Goals_Conceded_Per_Match_team,Goals_Scored_Haaland,SoT_Haaland,Expected_Goals_Haaland,Non_Penalty_xG_Haaland,xG_per_Shot_Haaland,Shot_Accuracy_Haaland,Goals_Per_Shot_Haaland,Assists_Haaland,Minutes_Played_Haaland,xG_Per_Minute_Haaland,Goals_Per_Minute_Haaland,SCA_Per_Minute_Haaland,GCA_Per_Minute_Haaland,Match_Impact_Haaland,Home_Away,Opponent_Strength,Match_Event_Influence,Match_Tempo,Expected Goals
9,4,1,71,2,10,5,0.8,55,0.2222222222222222,0.1111111111111111,1,5,0.8,0.8,0.08,0.5,0.2,0,90,0.008888888888888889,0.022222222222222223,0.0,0.0,2,0,-0.21,1,0.1111111111111111,0.8
9,4,1,71,2,10,5,0.8,55,0.2222222222222222,0.1111111111111111,1,5,0.8,0.8,0.08,0.5,0.2,0,90,0.008888888888888889,0.022222222222222223,0.0,0.0,2,0,-0.21,1,0.1111111111111111,0.8
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
10,12,0,79,2,20,9,4.0,60,0.3,0.0,2,9,4.0,3.2,0.2,0.45,0.15,1,90,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.011111111111111112,5,0,-0.29,3,0.2222222222222222,4.0
