round,expected goals,venue,opponent,goals,shots,touches,ast,passcmp,passcmp%,min,poss,gca,sca,gls,sh,rolling_expected goals,cumulative_expected goals,rolling_goals,cumulative_goals,rolling_shots,cumulative_shots,rolling_touches,cumulative_touches,rolling_poss,cumulative_poss,rolling_gca,cumulative_gca,rolling_sca,cumulative_sca,rolling_haaland_gls,cumulative_haaland_gls,rolling_haaland_ast,cumulative_haaland_ast,rolling_haaland_sh,cumulative_haaland_sh,rolling_haaland_min,cumulative_haaland_min,rolling_haaland_touches,cumulative_haaland_touches,rolling_haaland_poss,cumulative_haaland_poss,rolling_haaland_gca,cumulative_haaland_gca,rolling_haaland_sca,cumulative_haaland_sca,haaland_performance_rating,rolling_haaland_rating,cumulative_haaland_rating,defenders,midfielders,forwards,defenders_opp,midfielders_opp,forwards_opp,opponent_strength
21,3.0,Away,Newcastle Utd,3.0,27.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,2.0200000000000005,1.955,2.0,2.25,20.4,16.55,6.0,16.05,72.2,63.95,0.0,0.3,0.2,1.4,0.2,0.75,0.0,0.2,1.2,3.0,18.0,69.15,6.0,16.05,72.2,63.95,0.0,0.3,0.2,1.4,3.0,1.574,0.4492577079283807,4,5,1,4,3,3,0.96
22,1.7,Home,Burnley,3.0,14.0,8.0,0.0,3.0,75.0,20.0,74.0,0.0,1.0,0.0,2.0,2.3,2.0047619047619047,2.2,2.2857142857142856,22.2,17.047619047619047,6.0,15.285714285714286,73.6,64.33333333333333,0.0,0.2857142857142857,0.2,1.3333333333333333,0.2,0.7142857142857143,0.0,0.19047619047619047,1.2,2.857142857142857,18.0,65.85714285714286,6.0,15.285714285714286,73.6,64.33333333333333,0.0,0.2857142857142857,0.2,1.3333333333333333,0.08499999999999999,1.8539999999999999,0.5707216265984578,4,5,1,4,4,2,-0.79
23,2.1,Away,Brentford,3.0,25.0,23.0,1.0,12.0,70.6,85.0,72.0,1.0,2.0,0.0,3.0,2.32,1.9909090909090907,2.4,2.3181818181818183,21.2,16.90909090909091,7.6,14.954545454545455,73.6,64.77272727272727,0.0,0.2727272727272727,0.4,1.3181818181818181,0.2,0.6818181818181818,0.0,0.18181818181818182,1.6,2.8181818181818183,22.0,63.77272727272727,7.6,14.954545454545455,73.6,64.77272727272727,0.0,0.2727272727272727,0.4,1.3181818181818181,0.06,1.5510000000000002,0.5486433708439824,4,5,1,3,5,2,-0.02
24,1.6,Home,Everton,2.0,19.0,22.0,0.0,12.0,92.3,90.0,72.0,1.0,3.0,2.0,4.0,2.2800000000000002,1.9956521739130435,2.8,2.347826086956522,21.2,17.26086956521739,6.2,15.304347826086957,74.0,65.08695652173913,0.2,0.30434782608695654,0.6,1.3478260869565217,0.0,0.6521739130434783,0.2,0.21739130434782608,1.0,2.8260869565217392,21.0,64.69565217391305,6.2,15.304347826086957,74.0,65.08695652173913,0.2,0.30434782608695654,0.6,1.3478260869565217,0.10666666666666666,1.549,0.5273980068942441,4,5,1,4,5,1,-0.1
25,2.6,Home,Chelsea,1.0,31.0,26.0,0.0,9.0,75.0,90.0,70.0,0.0,2.0,0.0,9.0,2.12,1.9791666666666667,2.6,2.3333333333333335,20.6,17.333333333333332,10.6,15.583333333333334,74.0,65.375,0.4,0.3333333333333333,1.2,1.4166666666666667,0.4,0.7083333333333334,0.2,0.20833333333333334,1.8,2.875,39.0,65.75,10.6,15.583333333333334,74.0,65.375,0.4,0.3333333333333333,1.2,1.4166666666666667,0.02888888888888889,1.0903333333333336,0.5098675343847617,4,5,1,4,5,1,0.88
26,1.6,Away,Bournemouth,1.0,15.0,29.0,0.0,16.0,76.2,74.0,62.0,1.0,3.0,0.0,4.0,2.2,2.004,2.4,2.28,23.2,17.88,15.8,16.0,72.0,65.56,0.4,0.32,1.6,1.44,0.4,0.68,0.2,0.2,3.6,3.12,57.0,66.72,15.8,16.0,72.0,65.56,0.4,0.32,1.6,1.44,0.021621621621621623,0.6561111111111112,0.49062838856492674,3,6,1,4,5,1,-0.48
27,3.3,Home,Manchester Utd,3.0,27.0,14.0,0.0,5.0,71.4,90.0,73.0,0.0,2.0,1.0,4.0,1.92,1.9884615384615385,2.0,2.230769230769231,20.8,17.76923076923077,21.6,16.5,70.0,65.42307692307692,0.6,0.34615384615384615,2.2,1.5,0.4,0.6538461538461539,0.2,0.19230769230769232,4.4,3.1538461538461537,71.8,67.0,21.6,16.5,70.0,65.42307692307692,0.6,0.34615384615384615,2.2,1.5,0.0811111111111111,0.060435435435435524,0.472589666759415,3,6,1,4,6,0,-0.29
28,1.6,Away,Liverpool,1.0,10.0,19.0,0.0,12.0,80.0,90.0,47.0,0.0,4.0,0.0,1.0,2.2399999999999998,2.037037037037037,2.0,2.259259259259259,23.4,18.11111111111111,22.8,16.40740740740741,69.8,65.70370370370371,0.6,0.3333333333333333,2.4,1.5185185185185186,0.6,0.6666666666666666,0.2,0.18518518518518517,4.8,3.185185185185185,85.8,67.85185185185185,22.8,16.40740740740741,69.8,65.70370370370371,0.6,0.3333333333333333,2.4,1.5185185185185186,0.017777777777777778,0.05965765765765775,0.458090460994663,3,6,1,4,3,3,3.45
29,1.4,Away,Brighton,4.0,14.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,2.1399999999999997,2.0214285714285714,1.6,2.2142857142857144,20.4,17.821428571428573,22.0,16.5,64.8,65.03571428571429,0.4,0.32142857142857145,2.8,1.6071428571428572,0.6,0.6428571428571429,0.0,0.17857142857142858,4.4,3.107142857142857,86.8,68.64285714285714,22.0,16.5,64.8,65.03571428571429,0.4,0.32142857142857145,2.8,1.6071428571428572,1.4,0.0512132132132133,0.4423650080226314,4,5,1,4,5,1,-0.21
30,1.0,Home,Arsenal,0.0,12.0,19.0,0.0,7.0,63.6,90.0,72.0,0.0,1.0,0.0,4.0,2.1,2.0,2.0,2.2758620689655173,19.4,17.689655172413794,17.6,15.931034482758621,63.2,65.0,0.2,0.3103448275862069,2.2,1.5517241379310345,0.2,0.6206896551724138,0.0,0.1724137931034483,3.6,3.0,68.8,66.27586206896552,17.6,15.931034482758621,63.2,65.0,0.2,0.3103448275862069,2.2,1.5517241379310345,0.011111111111111112,0.30987987987987997,0.4753869042977131,4,5,1,4,3,3,4.07
31,3.4,Home,Aston Villa,4.0,25.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,1.78,1.9666666666666666,1.8,2.2,15.6,17.5,16.2,16.033333333333335,63.6,65.23333333333333,0.2,0.3,2.0,1.5333333333333334,0.2,0.6,0.0,0.16666666666666666,2.6,3.033333333333333,68.8,67.06666666666666,16.2,16.033333333333335,63.6,65.23333333333333,0.2,0.3,2.0,1.5333333333333334,3.4,0.3063243243243244,0.45991104452482634,4,5,1,4,5,1,0.57
32,1.9,Away,Crystal Palace,4.0,18.0,22.0,0.0,13.0,81.3,90.0,75.0,0.0,2.0,1.0,2.0,2.1399999999999997,2.0129032258064514,2.4,2.2580645161290325,17.6,17.741935483870968,10.4,15.516129032258064,64.6,65.29032258064517,0.0,0.2903225806451613,1.4,1.4838709677419355,0.2,0.5806451612903226,0.0,0.16129032258064516,1.8,2.935483870967742,54.0,64.90322580645162,10.4,15.516129032258064,64.6,65.29032258064517,0.0,0.2903225806451613,1.4,1.4838709677419355,0.06555555555555556,0.982,0.5547526237337029,3,6,1,3,4,3,-0.18
33,4.2,Home,Luton Town,4.0,36.0,24.0,0.0,12.0,80.0,80.0,73.0,0.0,3.0,1.0,4.0,1.8599999999999999,2.009375,2.6,2.3125,15.8,17.75,12.0,15.71875,65.0,65.59375,0.0,0.28125,1.4,1.5,0.2,0.59375,0.0,0.15625,1.4,2.90625,54.0,65.6875,12.0,15.71875,65.0,65.59375,0.0,0.28125,1.4,1.5,0.1025,0.9788888888888888,0.5394652153531359,4,5,1,3,4,3,-0.9
34,2.4,Away,Tottenham,2.0,7.0,23.0,0.0,12.0,85.7,89.0,47.0,0.0,0.0,2.0,1.0,2.38,2.0757575757575757,3.2,2.3636363636363638,21.0,18.303030303030305,13.0,15.969696969696969,70.2,65.81818181818181,0.0,0.2727272727272727,1.2,1.5454545454545454,0.4,0.6060606060606061,0.0,0.15151515151515152,2.0,2.9393939393939394,52.0,66.12121212121212,13.0,15.969696969696969,70.2,65.81818181818181,0.0,0.2727272727272727,1.2,1.5454545454545454,0.11685393258426967,0.9958333333333332,0.5262238451909196,4,5,1,4,4,2,0.71
35,0.9,Away,Nott'ham Forest,2.0,11.0,17.0,0.0,11.0,91.7,29.0,66.0,0.0,2.0,1.0,2.0,2.58,2.085294117647059,2.8,2.3529411764705883,19.6,17.970588235294116,17.6,16.176470588235293,66.8,65.26470588235294,0.0,0.2647058823529412,1.2,1.5,0.8,0.6470588235294118,0.0,0.14705882352941177,2.2,2.8823529411764706,69.8,66.79411764705883,17.6,16.176470588235293,66.8,65.26470588235294,0.0,0.2647058823529412,1.2,1.5,0.16896551724137931,0.7392041198501873,0.5141835536436652,4,5,1,5,4,1,-0.44
36,3.7,Home,Wolves,5.0,18.0,27.0,0.0,10.0,66.7,81.0,58.0,1.0,1.0,4.0,6.0,2.56,2.051428571428571,3.2,2.342857142857143,19.4,17.771428571428572,17.2,16.2,65.6,65.28571428571429,0.0,0.2571428571428571,1.4,1.5142857142857142,1.0,0.6571428571428571,0.0,0.14285714285714285,1.8,2.857142857142857,57.6,65.71428571428571,17.2,16.2,65.6,65.28571428571429,0.0,0.2571428571428571,1.4,1.5142857142857142,0.24320987654320986,0.770775001076241,0.5043201811750284,4,5,1,3,5,2,-0.54
37,3.2000000000000006,Away,Fulham,4.0,15.0,17.0,0.0,8.0,80.0,81.0,64.0,0.0,2.0,0.0,3.0,2.62,2.0972222222222223,3.4,2.4166666666666665,18.0,17.77777777777778,22.6,16.5,63.8,65.08333333333333,0.2,0.2777777777777778,1.6,1.5,1.8,0.75,0.0,0.1388888888888889,3.0,2.9444444444444446,73.8,66.13888888888889,22.6,16.5,63.8,65.08333333333333,0.2,0.2777777777777778,1.6,1.5,0.03950617283950618,0.13941697638488298,0.49706711715747787,4,5,1,4,5,1,-0.4
38,1.9,Home,West Ham,3.0,28.0,25.0,0.0,13.0,76.5,90.0,71.0,1.0,3.0,0.0,4.0,2.8800000000000003,2.1270270270270273,3.4,2.4594594594594597,17.4,17.7027027027027,21.6,16.513513513513512,61.6,65.05405405405405,0.2,0.2702702702702703,1.6,1.5135135135135136,1.6,0.7297297297297297,0.0,0.13513513513513514,3.2,2.945945945945946,72.0,66.54054054054055,21.6,16.513513513513512,61.6,65.05405405405405,0.2,0.2702702702702703,1.6,1.5135135135135136,0.021111111111111112,0.1342070998416731,0.48470060514888413,4,5,1,3,4,3,-0.51
