minute,result,X,Y,xG,player,situation,season,shotType,Date,player_assisted,lastAction,time,squad,opponent,venue,GF,GA
70,Goal,0.8030000305175782,0.5120000076293946,0.256304919719696,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-20,Julián Álvarez,Pass,18:30:00,Manchester City,Brentford,Home,1,0
84,SavedShot,0.926999969482422,0.3229999923706054,0.0848630890250206,Erling Haaland,OpenPlay,2023,RightFoot,2024-02-20,Julián Álvarez,Pass,18:30:00,Manchester City,Brentford,Home,1,0
92,SavedShot,0.8519999694824218,0.515,0.0746303498744964,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-20,Phil Foden,Cross,18:30:00,Manchester City,Brentford,Home,1,0
8,MissedShots,0.7880000305175782,0.3979999923706054,0.0318400524556636,Erling Haaland,OpenPlay,2023,RightFoot,2024-02-24,Phil Foden,Pass,17:30:00,Manchester City,Bournemouth,Away,1,0
23,SavedShot,0.9259999847412108,0.64,0.293916642665863,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-24,Mateo Kovacic,Chipped,17:30:00,Manchester City,Bournemouth,Away,1,0
51,BlockedShot,0.941999969482422,0.34,0.0957591086626052,Erling Haaland,OpenPlay,2023,RightFoot,2024-02-24,Bernardo Silva,Pass,17:30:00,Manchester City,Bournemouth,Away,1,0
74,SavedShot,0.9519999694824218,0.6120000076293945,0.3995432257652282,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-24,,,17:30:00,Manchester City,Bournemouth,Away,1,0
3,MissedShots,0.9209999847412108,0.499000015258789,0.1245168894529342,Erling Haaland,OpenPlay,2023,Head,2024-03-03,Bernardo Silva,Cross,15:30:00,Manchester City,Manchester United,Home,3,1
31,MissedShots,0.9180000305175782,0.4859999847412109,0.0457527674734592,Erling Haaland,OpenPlay,2023,Head,2024-03-03,,Rebound,15:30:00,Manchester City,Manchester United,Home,3,1
44,MissedShots,0.973000030517578,0.5259999847412109,0.6609540581703186,Erling Haaland,OpenPlay,2023,LeftFoot,2024-03-03,Phil Foden,HeadPass,15:30:00,Manchester City,Manchester United,Home,3,1
90,Goal,0.879000015258789,0.3279999923706054,0.2686331570148468,Erling Haaland,OpenPlay,2023,LeftFoot,2024-03-03,Rodri,Pass,15:30:00,Manchester City,Manchester United,Home,3,1
38,SavedShot,0.8190000152587891,0.57,0.1155040189623832,Erling Haaland,OpenPlay,2023,LeftFoot,2024-03-10,,,15:45:00,Manchester City,Liverpool,Away,1,1
36,MissedShots,0.9340000152587892,0.439000015258789,0.0633136555552482,Erling Haaland,OpenPlay,2023,Head,2024-03-31,Josko Gvardiol,Aerial,16:30:00,Manchester City,Arsenal,Home,0,0
63,BlockedShot,0.855,0.495,0.0794888958334922,Erling Haaland,OpenPlay,2023,LeftFoot,2024-03-31,Rodri,Chipped,16:30:00,Manchester City,Arsenal,Home,0,0
91,BlockedShot,0.9059999847412108,0.509000015258789,0.0269249808043241,Erling Haaland,FromCorner,2023,Head,2024-03-31,Kevin De Bruyne,Aerial,16:30:00,Manchester City,Arsenal,Home,0,0
92,MissedShots,0.9259999847412108,0.5379999923706055,0.063234344124794,Erling Haaland,OpenPlay,2023,Head,2024-03-31,,Aerial,16:30:00,Manchester City,Arsenal,Home,0,0
18,SavedShot,0.8380000305175781,0.5429999923706055,0.3197339177131653,Erling Haaland,OpenPlay,2023,LeftFoot,2024-04-06,Kevin De Bruyne,Throughball,11:30:00,Manchester City,Crystal Palace,Away,4,2
